"filename", "language", "YAML", "Ini", "JSON", "PHP", "HTML (Twig)", "comment", "blank", "total"
"/mnt/a61f11e1-680e-45cd-9cbb-f571b573bb50/Dev/symfony/guestbook/docker-compose.yaml", "YAML", 9, 0, 0, 0, 0, 0, 3, 12
"/mnt/a61f11e1-680e-45cd-9cbb-f571b573bb50/Dev/symfony/guestbook/php.ini", "Ini", 0, 8, 0, 0, 0, 0, 1, 9
"/mnt/a61f11e1-680e-45cd-9cbb-f571b573bb50/Dev/symfony/guestbook/public/index.php", "PHP", 0, 0, 0, 20, 0, 0, 8, 28
"/mnt/a61f11e1-680e-45cd-9cbb-f571b573bb50/Dev/symfony/guestbook/src/Controller/ConferenceController.php", "PHP", 0, 0, 0, 35, 0, 6, 8, 49
"/mnt/a61f11e1-680e-45cd-9cbb-f571b573bb50/Dev/symfony/guestbook/src/DataFixtures/AppFixtures.php", "PHP", 0, 0, 0, 41, 0, 5, 11, 57
"/mnt/a61f11e1-680e-45cd-9cbb-f571b573bb50/Dev/symfony/guestbook/src/Entity/Comment.php", "PHP", 0, 0, 0, 75, 0, 27, 30, 132
"/mnt/a61f11e1-680e-45cd-9cbb-f571b573bb50/Dev/symfony/guestbook/src/Entity/Conference.php", "PHP", 0, 0, 0, 74, 0, 24, 25, 123
"/mnt/a61f11e1-680e-45cd-9cbb-f571b573bb50/Dev/symfony/guestbook/src/EventSubscriber/TwigEventSubscriber.php", "PHP", 0, 0, 0, 24, 0, 0, 6, 30
"/mnt/a61f11e1-680e-45cd-9cbb-f571b573bb50/Dev/symfony/guestbook/src/Kernel.php", "PHP", 0, 0, 0, 32, 0, 15, 8, 55
"/mnt/a61f11e1-680e-45cd-9cbb-f571b573bb50/Dev/symfony/guestbook/src/Migrations/Version20200409222659.php", "PHP", 0, 0, 0, 32, 0, 5, 9, 46
"/mnt/a61f11e1-680e-45cd-9cbb-f571b573bb50/Dev/symfony/guestbook/src/Repository/CommentRepository.php", "PHP", 0, 0, 0, 26, 0, 33, 9, 68
"/mnt/a61f11e1-680e-45cd-9cbb-f571b573bb50/Dev/symfony/guestbook/src/Repository/ConferenceRepository.php", "PHP", 0, 0, 0, 12, 0, 33, 6, 51
"/mnt/a61f11e1-680e-45cd-9cbb-f571b573bb50/Dev/symfony/guestbook/templates/base.html.twig", "HTML (Twig)", 0, 0, 0, 0, 28, 0, 3, 31
"/mnt/a61f11e1-680e-45cd-9cbb-f571b573bb50/Dev/symfony/guestbook/templates/conference/index.html.twig", "HTML (Twig)", 0, 0, 0, 0, 12, 0, 4, 16
"/mnt/a61f11e1-680e-45cd-9cbb-f571b573bb50/Dev/symfony/guestbook/templates/conference/show.html.twig", "HTML (Twig)", 0, 0, 0, 0, 31, 0, 8, 39
"Total", "-", 244, 8, 5953, 403, 71, 221, 215, 7115
